Sample,   PC1,   PC2,     A,SiO2 wt%
Martin 1987,-19.24,  7.47,   NaN, 72.63
Martin 1987,-16.93,  6.51,   NaN, 70.34
Compiled by Martin and Moyen (2002),-18.02,  6.31,   NaN, 70.99
Compiled by Martin and Moyen (2002),-17.90,  5.87,   NaN, 70.87
Compiled by Martin and Moyen (2002),-18.89,  6.79,   NaN, 71.82
Compiled by Martin and Moyen (2002),-19.57,  8.55,  0.63, 74.02
Compiled by Martin and Moyen (2002),-18.23,  6.45,   NaN, 71.24
Compiled by Martin and Moyen (2002),-13.15,  2.49,   NaN, 66.43
Compiled by Martin and Moyen (2002),-18.29,  6.55,  0.64, 71.28
Compiled by Martin and Moyen (2002),-18.54,  7.56,  0.82, 72.66
Compiled by Martin and Moyen (2002),-15.64,  3.94,  0.68, 67.96
Compiled by Martin and Moyen (2002),-18.41,  4.51,   NaN, 70.21
Compiled by Martin and Moyen (2002),-19.87,  8.66,   NaN, 74.69
Compiled by Martin and Moyen (2002),-18.91,  7.22,   NaN, 72.76
Compiled by Martin and Moyen (2002),-17.56,  6.07,   NaN, 70.83
Compiled by Martin and Moyen (2002),-17.22,  5.64,   NaN, 70.42
Compiled by Martin and Moyen (2002),-20.06,  8.91,   NaN, 74.23
Compiled by Martin and Moyen (2002),-20.28,  8.93,  1.02, 74.45
Compiled by Martin and Moyen (2002),-16.54,  5.09,   NaN, 69.43
Compiled by Martin and Moyen (2002),-17.70,  6.04,   NaN, 70.84
Compiled by Martin and Moyen (2002),-14.23,  2.23,   NaN, 66.91
Compiled by Martin and Moyen (2002),-18.57,  6.03,   NaN, 72.79
Compiled by Martin and Moyen (2002),-19.57,  7.83,   NaN, 73.05
Compiled by Martin and Moyen (2002),-16.55,  5.38,   NaN, 70.24
Compiled by Martin and Moyen (2002),-13.94,  2.83,   NaN, 66.38
Compiled by Martin and Moyen (2002),-13.41,  1.93,   NaN, 65.02
Compiled by Martin and Moyen (2002),-20.09,  8.14,   NaN, 73.51
Compiled by Martin and Moyen (2002),-21.15,  9.03,   NaN, 75.05
Compiled by Martin and Moyen (2002),-19.30,  7.32,   NaN, 72.55
Compiled by Martin and Moyen (2002),-17.55,  6.35,   NaN, 71.16
Compiled by Martin and Moyen (2002),-19.85,  8.18,   NaN, 73.86
Compiled by Martin and Moyen (2002),-17.94,  5.87,   NaN, 70.16
Compiled by Martin and Moyen (2002),-14.55,  2.82,   NaN, 66.31
Compiled by Martin and Moyen (2002),-19.48,  6.93,   NaN, 72.22
Compiled by Martin and Moyen (2002),-20.48,  9.43,   NaN, 76.37
Compiled by Martin and Moyen (2002),-19.22,  7.02,   NaN, 72.08
Compiled by Martin and Moyen (2002),-17.65,  5.83,   NaN, 70.67
Compiled by Martin and Moyen (2002),-17.17,  5.87,   NaN, 70.34
Compiled by Martin and Moyen (2002),-20.71,  8.82,   NaN, 73.70
Compiled by Martin and Moyen (2002),-21.16, 10.26,   NaN, 76.24
Compiled by Martin and Moyen (2002),-19.19,  7.70,   NaN, 72.87
Compiled by Martin and Moyen (2002),-19.24,  7.83,   NaN, 72.31
Compiled by Martin and Moyen (2002),-22.37, 11.88,   NaN, 78.93
Compiled by Martin and Moyen (2002),-16.70,  7.24,   NaN, 72.74
Compiled by Martin and Moyen (2002),-17.74,  4.82,  0.85, 69.61
Compiled by Martin and Moyen (2002),-15.19,  2.39,   NaN, 67.22
Compiled by Martin and Moyen (2002),-14.00,  1.44,   NaN, 65.63
Compiled by Martin and Moyen (2002),-17.56,  5.64,   NaN, 70.74
Compiled by Martin and Moyen (2002),-18.61,  6.69,   NaN, 72.58
Compiled by Martin and Moyen (2002),-17.71,  5.65,   NaN, 70.45
Compiled by Martin and Moyen (2002),-19.96,  8.36,   NaN, 74.15
Compiled by Martin and Moyen (2002),-17.68,  5.81,   NaN, 70.49
Compiled by Martin and Moyen (2002),-19.40,  7.52,   NaN, 72.72
Compiled by Martin and Moyen (2002),-19.68,  7.75,  0.96, 73.33
Compiled by Martin and Moyen (2002),-18.64,  8.26,   NaN, 73.57
Compiled by Martin and Moyen (2002),-18.46,  7.96,   NaN, 73.17
Compiled by Martin and Moyen (2002),-19.11,  8.69,   NaN, 73.86
Compiled by Martin and Moyen (2002),-17.89,  7.50,   NaN, 72.30
Compiled by Martin and Moyen (2002),-18.72,  7.85,   NaN, 73.01
Compiled by Martin and Moyen (2002),-17.89,  6.27,   NaN, 71.22
Compiled by Martin and Moyen (2002),-16.70,  7.84,   NaN, 73.21
Compiled by Martin and Moyen (2002),-18.05,  7.92,  0.91, 72.84
Compiled by Martin and Moyen (2002),-20.95,  9.05,  1.68, 75.10
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.50,  6.58,  1.38, 71.81
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.31,  5.56,  4.31, 71.20
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.87,  7.68,  1.04, 73.14
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.79,  7.73,  0.77, 73.01
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-20.06,  8.20,  1.08, 73.56
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.61,  8.01,  1.19, 73.52
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-21.18,  9.30,  1.29, 75.74
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.94,  7.76,   NaN, 73.46
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-17.39,  5.53,   NaN, 70.45
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-22.99, 13.22,  2.18, 79.22
Yearron, 2003,-19.53,  7.72,   NaN, 73.61
Yearron, 2003,-18.26,  6.51,   NaN, 71.34
Yearron, 2003,-19.60,  7.98,   NaN, 72.93
Yearron, 2003,-19.05,  8.31,   NaN, 72.73
Yearron, 2003,-19.24,  7.08,   NaN, 72.37
Yearron, 2003,-21.09,  9.02,   NaN, 74.44
Yearron, 2003,-19.11,  6.86,   NaN, 72.03
Yearron, 2003,-19.44,  7.26,   NaN, 72.68
Yearron, 2003,-19.69,  8.03,   NaN, 73.29
Yearron, 2003,-20.26,  8.57,   NaN, 73.91
Yearron, 2003,-20.46,  8.45,   NaN, 74.07
Yearron, 2003,-17.26,  6.04,   NaN, 70.40
Yearron, 2003,-18.42,  6.01,   NaN, 71.27
Yearron, 2003,-19.02,  7.61,   NaN, 72.28
Yearron, 2003,-18.18,  6.11,   NaN, 71.15
Yearron, 2003,-19.71,  7.38,   NaN, 73.15
Yearron, 2003,-19.08,  6.74,   NaN, 71.39
Yearron, 2003,-19.51,  7.99,   NaN, 73.22
Yearron, 2003,-20.55,  8.55,   NaN, 74.10
Unpublished,-17.42,  5.03,  0.96, 70.15
Unpublished,-19.55,  8.06,  1.05, 73.60
Yearron, 2003,-18.74,  7.07,   NaN, 71.44
Yearron, 2003,-16.06,  3.64,   NaN, 68.61
Robb et al. 1986,-19.20,  8.23,   NaN, 73.02
Robb et al. 1986,-16.71,  5.68,   NaN, 69.96
Unpublished,-17.98,  6.55,  0.78, 71.11
Yearron, 2003,-17.19,  6.27,   NaN, 70.26
Yearron, 2003,-20.11,  8.19,   NaN, 73.71
Yearron, 2003,-18.73,  7.29,   NaN, 72.26
Yearron, 2003,-16.84,  5.64,   NaN, 69.94
Yearron, 2003,-17.27,  5.40,   NaN, 70.20
Yearron, 2003,-20.33,  8.88,   NaN, 74.04
Yearron, 2003,-16.04,  4.47,   NaN, 67.94
Yearron, 2003,-17.84,  6.53,   NaN, 71.27
Yearron, 2003,-19.91,  8.55,   NaN, 73.68
Yearron, 2003,-17.21,  5.64,   NaN, 70.23
Yearron, 2003,-17.22,  5.88,   NaN, 70.43
Yearron, 2003,-18.33,  6.29,   NaN, 71.21
Yearron, 2003,-18.23,  6.13,   NaN, 71.21
Yearron, 2003,-17.96,  6.29,   NaN, 70.95
Yearron, 2003,-18.32,  6.77,   NaN, 71.71
Yearron, 2003,-15.63,  4.35,   NaN, 68.74
Yearron, 2003,-18.21,  6.51,   NaN, 70.77
Yearron, 2003,-18.38,  7.18,   NaN, 71.07
Yearron, 2003,-18.82,  7.94,   NaN, 72.09
Yearron, 2003,-18.53,  7.05,   NaN, 71.05
Yearron, 2003,-18.70,  7.06,   NaN, 71.24
Yearron, 2003,-18.64,  7.55,   NaN, 71.71
Yearron, 2003,-18.43,  6.92,   NaN, 70.92
Yearron, 2003,-19.18,  7.82,   NaN, 72.05
Yearron, 2003,-19.40,  8.17,   NaN, 73.01
Yearron, 2003,-17.98,  7.70,   NaN, 71.00
Yearron, 2003,-20.81,  9.13,   NaN, 74.88
Yearron, 2003,-18.67,  6.56,   NaN, 71.51
Yearron, 2003,-18.68,  7.50,   NaN, 71.77
Unpublished,-19.13,  7.65,   NaN, 72.85
Unpublished,-20.35,  9.43,   NaN, 74.31
Unpublished,-19.67,  7.88,   NaN, 72.81
Unpublished,-19.45,  7.70,   NaN, 72.62
Unpublished,-16.50,  5.64,  1.16, 68.93
Yearron, 2003,-17.53,  6.13,   NaN, 70.42
Yearron, 2003,-18.13,  6.84,   NaN, 71.47
Yearron, 2003,-17.57,  6.92,   NaN, 71.18
Yearron, 2003,-18.36,  7.17,   NaN, 71.91
Yearron, 2003,-17.74,  7.04,   NaN, 71.19
Yearron, 2003,-16.40,  7.05,   NaN, 70.13
Yearron, 2003,-17.82,  6.80,   NaN, 70.94
Yearron, 2003,-17.10,  6.29,   NaN, 70.42
Yearron, 2003,-17.88,  7.00,   NaN, 71.17
Yearron, 2003,-17.66,  6.81,   NaN, 70.83
Yearron, 2003,-18.88,  7.99,   NaN, 72.97
Yearron, 2003,-17.95,  7.19,   NaN, 71.38
Yearron, 2003,-17.90,  7.73,   NaN, 71.75
Yearron, 2003,-18.04,  7.15,   NaN, 71.48
Yearron, 2003,-18.88,  8.05,   NaN, 72.85
Yearron, 2003,-18.69,  7.86,   NaN, 72.46
Yearron, 2003,-18.31,  7.64,   NaN, 72.14
Yearron, 2003,-17.61,  6.88,   NaN, 71.04
Yearron, 2003,-17.90,  7.05,   NaN, 71.22
Yearron, 2003,-17.85,  6.93,   NaN, 71.09
Yearron, 2003,-17.91,  7.18,   NaN, 71.21
Yearron, 2003,-18.48,  7.55,   NaN, 72.00
Yearron, 2003,-18.14,  7.10,   NaN, 71.74
Yearron, 2003,-17.01,  6.28,   NaN, 70.48
Yearron, 2003,-17.26,  6.41,   NaN, 70.42
Yearron, 2003,-18.15,  6.98,   NaN, 71.34
Yearron, 2003,-17.77,  6.90,   NaN, 71.21
Yearron, 2003,-18.88,  7.97,   NaN, 74.17
Unpublished,-20.40,  8.56,  0.60, 73.69
Unpublished,-20.47,  8.64,  0.66, 73.87
Unpublished,-20.79,  9.01,  0.64, 74.43
Unpublished,-19.35,  7.51,  0.69, 72.42
Unpublished,-17.81,  6.12,  0.46, 70.78
Unpublished,-18.69,  7.21,  0.58, 72.24
Unpublished,-20.07,  8.57,  0.69, 73.99
Unpublished,-19.86,  8.62,  0.76, 73.49
Unpublished,-18.84,  7.28,  0.56, 72.39
Unpublished,-19.34,  7.62,  0.58, 72.77
Unpublished,-19.41,  7.27,  0.62, 72.29
Unpublished,-19.16,  7.26,  0.54, 72.59
Unpublished,-18.89,  6.66,  0.67, 71.52
Unpublished,-19.14,  7.67,  0.51, 72.81
Unpublished,-17.18,  5.25,  0.82, 70.25
Unpublished,-18.45,  6.37,  1.07, 70.90
Unpublished,-18.26,  6.03,  0.64, 70.85
Unpublished,-18.88,  7.27,  1.47, 72.06
Unpublished,-17.16,  5.29,  1.02, 69.89
Unpublished,-18.18,  5.85,  0.56, 70.76
Moyen et al. 2003,-17.91,  6.34,  2.31, 71.49
Allen et al., 1986,-17.08,  5.41,   NaN, 70.12
Unpublished (GEUS),-17.22,  4.53,   NaN, 69.40
Unpublished (GEUS),-16.03,  4.54,   NaN, 69.10
Unpublished (GEUS),-16.60,  4.70,   NaN, 68.92
Unpublished (GEUS),-18.10,  5.91,   NaN, 71.24
Unpublished (GEUS),-16.12,  4.29,  1.03, 68.81
Unpublished (GEUS),-19.49,  7.52,   NaN, 72.84
Unpublished (GEUS),-18.08,  5.40,   NaN, 70.38
Unpublished (GEUS),-17.85,  5.87,   NaN, 70.64
Unpublished (GEUS),-14.82,  0.52,  1.20, 63.64
Unpublished (GEUS),-17.72,  6.17,   NaN, 70.63
Unpublished (GEUS),-17.74,  6.01,   NaN, 70.94
Unpublished (GEUS),-18.25,  6.33,   NaN, 71.13
Unpublished (GEUS),-18.92,  7.43,   NaN, 72.64
Unpublished (GEUS),-18.46,  6.36,   NaN, 72.13
Unpublished (GEUS),-19.32,  7.30,   NaN, 72.27
Unpublished (GEUS),-20.71,  8.75,   NaN, 75.06
Unpublished (GEUS),-19.26,  7.63,  0.88, 73.15
Unpublished (GEUS),-16.26,  4.81,  0.38, 68.87
Unpublished (GEUS),-19.54,  7.70,   NaN, 73.22
Unpublished,-10.72, -0.27,  1.09, 63.18
Unpublished,-18.06,  5.51,   NaN, 70.58
Unpublished,-19.54,  7.33,   NaN, 72.87
Unpublished,-20.47,  8.24,  1.16, 74.38
Unpublished,-19.90,  8.04,  0.59, 73.87
Unpublished,-18.14,  6.17,  0.89, 71.22
Unpublished,-17.61,  5.80,  0.60, 70.84
Unpublished,-17.93,  6.62,  0.85, 71.67
Unpublished,-19.93,  8.47,  1.06, 74.01
Unpublished,-18.08,  6.08,  0.77, 71.51
Unpublished,-22.15, 10.31,  0.49, 76.79
Unpublished,-19.95,  8.27,  0.60, 74.02
Garde, 1997,-12.53,  1.53,   NaN, 64.91
Garde, 1997,-12.60,  1.83,   NaN, 65.12
Garde, 1997,-17.21,  5.08,   NaN, 69.53
Garde, 1997,-18.19,  6.31,   NaN, 71.19
Garde, 1997,-14.64,  2.89,   NaN, 67.19
Garde, 1997,-18.00,  5.73,   NaN, 70.60
Garde, 1997,-16.93,  4.46,   NaN, 68.88
Garde, 1997,-16.98,  5.19,   NaN, 69.71
Garde, 1997,-18.77,  6.99,   NaN, 71.79
Garde, 1997,-19.14,  6.83,   NaN, 71.93
Garde, 1997,-20.14,  7.96,   NaN, 73.39
Garde, 1997,-19.43,  7.89,   NaN, 74.33
Garde, 1997,-16.26,  3.90,  1.00, 68.21
Garde, 1997,-19.37,  6.70,   NaN, 72.05
Garde, 1997,-19.52,  7.27,   NaN, 72.65
Garde, 1997,-18.99,  6.67,   NaN, 71.37
Garde, 1997,-19.38,  6.98,   NaN, 72.18
Garde, 1997,-19.92,  7.66,   NaN, 72.89
Garde, 1997,-19.55,  6.81,   NaN, 71.84
Garde, 1997,-19.74,  7.73,  1.38, 72.79
Garde, 1997,-19.36,  7.02,   NaN, 72.00
Garde, 1997,-19.84,  7.29,   NaN, 72.53
Garde, 1997,-19.28,  6.74,   NaN, 71.96
Garde, 1997,-18.58,  5.72,   NaN, 70.97
Garde, 1997,-19.29,  6.68,   NaN, 72.12
Garde, 1997,-20.56,  8.94,   NaN, 75.62
Garde, 1997,-19.37,  7.00,   NaN, 72.34
Garde, 1997,-19.79,  7.39,   NaN, 72.69
Garde, 1997,-20.20,  7.87,   NaN, 73.30
Garde, 1997,-18.84,  6.81,   NaN, 72.79
Garde, 1997,-19.87,  7.44,   NaN, 73.54
Garde, 1997,-20.94,  8.34,   NaN, 74.03
Garde, 1997,-18.83,  6.95,   NaN, 72.26
Garde, 1997,-19.41,  7.33,   NaN, 72.54
Garde, 1997,-13.86,  1.81,   NaN, 65.11
Garde, 1997,-14.90,  2.02,   NaN, 65.81
Garde, 1997,-18.44,  5.11,   NaN, 69.81
Garde, 1997,-19.00,  7.42,   NaN, 72.79
Benn and Moyen, 2008,-19.09,  7.84,  1.48, 72.54
Benn and Moyen, 2008,-17.94,  6.76,  1.40, 71.06
Benn and Moyen, 2008,-21.40, 10.82,  2.06, 76.71
Bédard, 2006,-18.31,  6.53,  0.80, 71.22
Bédard, 2006,-17.45,  6.18,  1.23, 70.39
Bédard, 2006,-20.21,  8.54,  1.99, 73.80
Bédard, 2006,-18.66,  7.69,  1.48, 72.15
Bédard, 2006,-19.79,  8.46,  0.85, 73.68
Bédard, 2006,-16.55,  5.70,  2.40, 69.86
Bédard, 2006,-19.32,  8.72,   NaN, 73.02
Compiled by Martin and Moyen (2002),-19.47,  7.65,   NaN, 72.74
Compiled by Martin and Moyen (2002),-18.31,  7.25,   NaN, 71.44
Compiled by Martin and Moyen (2002),-19.26,  7.95,   NaN, 72.80
Compiled by Martin and Moyen (2002),-18.46,  7.07,  1.30, 71.56
Compiled by Martin and Moyen (2002),-18.47,  6.91,  1.36, 71.08
Compiled by Martin and Moyen (2002),-18.86,  7.57,  2.04, 71.99
Compiled by Martin and Moyen (2002),-19.18,  7.94,  1.56, 72.37
Compiled by Martin and Moyen (2002),-18.95,  7.41,  1.71, 71.82
Compiled by Martin and Moyen (2002),-19.32,  7.88,  1.46, 72.23
Compiled by Martin and Moyen (2002),-16.40,  6.00,   NaN, 70.08
Compiled by Martin and Moyen (2002),-19.89,  8.06,   NaN, 73.16
Compiled by Martin and Moyen (2002),-19.66,  8.21,   NaN, 72.87
Compiled by Martin and Moyen (2002),-19.64,  8.80,   NaN, 74.31
Compiled by Martin and Moyen (2002),-19.15,  7.72,   NaN, 72.73
Compiled by Martin and Moyen (2002),-19.61,  8.73,   NaN, 74.01
Compiled by Martin and Moyen (2002),-18.06,  7.33,   NaN, 72.78
Compiled by Martin and Moyen (2002),-19.38,  7.57,   NaN, 72.78
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.70,  8.27,  1.69, 73.50
Yearron, 2003,-16.43,  6.06,   NaN, 69.76
Yearron, 2003,-20.26,  9.05,   NaN, 74.06
Yearron, 2003,-20.32,  8.41,   NaN, 73.68
Yearron, 2003,-19.74,  8.70,   NaN, 73.48
Yearron, 2003,-18.75,  7.14,   NaN, 70.99
Yearron, 2003,-20.66,  8.72,   NaN, 74.39
Yearron, 2003,-19.46,  8.21,   NaN, 72.66
Yearron, 2003,-19.92,  8.80,   NaN, 73.59
Yearron, 2003,-19.56,  8.51,   NaN, 73.15
Yearron, 2003,-19.19,  7.73,   NaN, 72.17
Yearron, 2003,-19.72,  8.33,   NaN, 72.83
Yearron, 2003,-19.45,  8.60,  1.17, 73.37
Yearron, 2003,-20.22,  9.09,  1.26, 73.59
Unpublished,-19.56,  8.08,  1.10, 72.94
Moyen et al. 2003,-17.57,  6.37,  0.92, 70.90
Unpublished (GEUS),-18.21,  6.76,   NaN, 71.25
Unpublished (GEUS),-18.99,  7.10,   NaN, 72.03
Unpublished (GEUS),-18.67,  7.23,  1.00, 72.01
Unpublished (GEUS),-20.34,  9.02,  1.12, 74.12
Garde, 1997,-18.14,  6.40,   NaN, 70.56
Garde, 1997,-19.87,  7.86,   NaN, 72.90
Garde, 1997,-19.81,  7.64,   NaN, 72.77
Garde, 1997,-19.08,  7.31,   NaN, 71.97
Garde, 1997,-19.90,  7.65,   NaN, 72.67
Garde, 1997,-20.20,  8.11,   NaN, 73.50
Garde, 1997,-20.24,  8.50,   NaN, 73.82
Garde, 1997,-20.41,  8.05,   NaN, 73.37
Garde, 1997,-21.29, 10.68,   NaN, 76.01
Garde, 1997,-19.98,  7.94,  1.90, 73.03
Garde, 1997,-20.03,  8.08,   NaN, 73.15
Garde, 1997,-19.23,  8.39,   NaN, 73.45
Garde, 1997,-20.50,  8.95,   NaN, 74.42
Garde, 1997,-21.10, 10.49,   NaN, 75.70
Garde, 1997,-19.94,  8.78,   NaN, 73.80
Garde, 1997,-20.16,  8.66,   NaN, 73.56
Garde, 1997,-19.37,  7.30,   NaN, 72.15
Benn and Moyen, 2008,-16.08,  4.26,  0.21, 68.82
Compiled by Martin and Moyen (2002),-15.42,  3.53,   NaN, 67.10
Compiled by Martin and Moyen (2002),-17.48,  4.18,   NaN, 67.99
Compiled by Martin and Moyen (2002),-16.15,  4.49,   NaN, 68.98
Compiled by Martin and Moyen (2002),-17.72,  4.99,  1.36, 69.72
Yearron, 2003,-11.63,  1.07,   NaN, 63.26
Yearron, 2003,-14.01,  1.23,   NaN, 64.45
Unpublished,-15.87,  4.94,  0.95, 68.65
Unpublished,-13.23,  2.39,  0.79, 65.48
Unpublished,-16.63,  4.98,  0.95, 68.87
Unpublished,-17.07,  5.45,  0.48, 70.01
Unpublished,-12.85,  0.55,  1.66, 64.25
Garde, 1997,-17.33,  5.46,   NaN, 70.76
Garde, 1997,-15.63,  4.53,   NaN, 67.75
Garde, 1997,-16.23,  4.97,   NaN, 68.91
Garde, 1997,-13.70,  2.82,   NaN, 66.15
Benn and Moyen, 2008,-15.79,  5.83,  1.03, 69.65
Benn and Moyen, 2008,-18.17,  6.82,  0.68, 72.07
Benn and Moyen, 2008,-20.10,  8.68,  0.38, 75.11
Benn and Moyen, 2008,-15.12,  5.85,   NaN, 69.95
Benn and Moyen, 2008,-11.76,  2.08,  0.97, 65.57
Benn and Moyen, 2008,-10.86,  2.44,  0.89, 65.99
Benn and Moyen, 2008,-20.65,  9.90,  0.89, 76.51
Benn and Moyen, 2008,-22.44, 12.19,  1.38, 79.31
Benn and Moyen, 2008,-22.47, 12.13,  0.91, 78.68
Bédard, 2006,-12.86,  2.96,  0.71, 65.80
Bédard, 2006,-16.06,  4.74,   NaN, 69.59
Bédard, 2006, -9.96,  0.62,   NaN, 62.40
Bédard, 2006,-17.37,  7.00,  1.72, 72.19
Bédard, 2006,-14.87,  4.12,  0.84, 68.33
Bédard, 2006,-15.76,  3.93,   NaN, 68.84
Bédard, 2006, -7.95, -0.39,   NaN, 61.10
Bédard, 2006,-19.57,  7.92,  1.80, 74.08
Martin 1987,-16.46,  5.33,   NaN, 70.14
Martin 1987,-18.26,  8.78,   NaN, 72.41
Martin 1987,-18.24,  8.08,   NaN, 72.74
Martin 1987,-16.72,  5.93,   NaN, 70.32
Martin 1987,-18.25,  6.95,   NaN, 72.10
Martin 1987,-17.74,  6.42,   NaN, 71.24
Martin 1987,-17.32,  6.21,   NaN, 70.70
Martin 1987,-17.83,  6.47,   NaN, 71.24
Martin 1987,-15.45,  4.52,   NaN, 68.64
Compiled by Martin and Moyen (2002),-16.28,  4.57,   NaN, 69.22
Compiled by Martin and Moyen (2002),-16.17,  4.34,   NaN, 68.97
Compiled by Martin and Moyen (2002),-16.60,  4.73,   NaN, 69.46
Compiled by Martin and Moyen (2002),-16.51,  4.78,   NaN, 69.25
Barbosa et al. 2004,-17.80,  6.05,   NaN, 70.93
Barbosa et al. 2004,-18.87,  6.43,   NaN, 71.49
Barbosa et al. 2004,-17.36,  5.19,   NaN, 69.76
Compiled by Martin and Moyen (2002),-13.41,  1.66,   NaN, 65.40
Compiled by Martin and Moyen (2002),-10.48, -0.65,   NaN, 62.16
Compiled by Martin and Moyen (2002),-15.02,  3.15,   NaN, 67.55
Compiled by Martin and Moyen (2002),-14.99,  2.99,   NaN, 67.71
Compiled by Martin and Moyen (2002),-14.20,  4.55,  2.17, 67.63
Compiled by Martin and Moyen (2002),-15.54,  3.60,   NaN, 67.92
Compiled by Martin and Moyen (2002),-14.90,  3.51,   NaN, 67.64
Compiled by Martin and Moyen (2002),-15.53,  4.88,   NaN, 69.22
Compiled by Martin and Moyen (2002),-17.84,  7.01,   NaN, 71.95
Compiled by Martin and Moyen (2002),-10.79,  1.25,   NaN, 63.83
Compiled by Martin and Moyen (2002),-14.63,  3.01,   NaN, 66.85
Compiled by Martin and Moyen (2002),-10.20,  0.47,   NaN, 63.99
Compiled by Martin and Moyen (2002),-12.04,  1.17,   NaN, 64.05
Compiled by Martin and Moyen (2002),-17.87,  5.78,   NaN, 71.09
Compiled by Martin and Moyen (2002),-17.42,  5.56,   NaN, 70.45
Compiled by Martin and Moyen (2002),-17.92,  7.14,   NaN, 72.11
Compiled by Martin and Moyen (2002),-15.03,  3.37,   NaN, 67.84
Compiled by Martin and Moyen (2002),-13.79,  3.38,   NaN, 67.27
Compiled by Martin and Moyen (2002),-13.25,  2.11,   NaN, 65.66
Compiled by Martin and Moyen (2002),-16.00,  5.19,   NaN, 69.41
Compiled by Martin and Moyen (2002),-13.53,  1.64,  1.73, 65.27
Compiled by Martin and Moyen (2002),-16.38,  5.11,   NaN, 69.82
Compiled by Martin and Moyen (2002),-20.24,  8.62,   NaN, 74.59
Compiled by Martin and Moyen (2002),-12.67,  2.60,   NaN, 65.41
Compiled by Martin and Moyen (2002),-13.64,  2.29,   NaN, 66.16
Compiled by Martin and Moyen (2002),-13.65,  2.45,  0.35, 66.10
Compiled by Martin and Moyen (2002),-19.76,  8.34,   NaN, 74.29
Compiled by Martin and Moyen (2002),-18.32,  6.86,   NaN, 71.73
Compiled by Martin and Moyen (2002),-14.33,  3.25,   NaN, 67.56
Compiled by Martin and Moyen (2002),-18.15,  6.35,   NaN, 72.16
Compiled by Martin and Moyen (2002),-17.94,  6.00,   NaN, 70.39
Compiled by Martin and Moyen (2002),-20.78,  7.58,   NaN, 72.96
Compiled by Martin and Moyen (2002),-14.13,  2.05,   NaN, 65.87
Compiled by Martin and Moyen (2002),-18.21,  7.06,   NaN, 71.54
Compiled by Martin and Moyen (2002),-18.13,  7.77,   NaN, 72.01
Compiled by Martin and Moyen (2002),-18.83,  7.78,   NaN, 72.66
Compiled by Martin and Moyen (2002),-20.55,  9.93,   NaN, 75.53
Compiled by Martin and Moyen (2002),-15.42,  3.94,   NaN, 68.30
Compiled by Martin and Moyen (2002),-14.03,  2.64,   NaN, 67.39
Compiled by Martin and Moyen (2002),-15.93,  4.56,   NaN, 69.17
Compiled by Martin and Moyen (2002),-15.42,  3.94,   NaN, 68.29
Compiled by Martin and Moyen (2002),-17.04,  5.32,   NaN, 69.92
Compiled by Martin and Moyen (2002),-13.72,  1.52,  1.90, 64.57
Compiled by Martin and Moyen (2002),-11.20,  2.42,   NaN, 64.99
Compiled by Martin and Moyen (2002),-14.34,  2.00,   NaN, 65.76
Compiled by Martin and Moyen (2002),-19.40,  8.30,   NaN, 74.23
Compiled by Martin and Moyen (2002),-15.85,  4.48,   NaN, 69.23
Compiled by Martin and Moyen (2002),-14.57,  3.62,  2.18, 68.18
Compiled by Martin and Moyen (2002),-16.67,  4.71,  0.80, 69.15
Compiled by Martin and Moyen (2002),-16.27,  5.11,   NaN, 69.48
Compiled by Martin and Moyen (2002),-14.75,  4.70,   NaN, 67.71
Compiled by Martin and Moyen (2002),-13.00,  4.53,  2.32, 67.00
Compiled by Martin and Moyen (2002),-18.18,  6.60,   NaN, 71.11
Compiled by Martin and Moyen (2002),-18.51,  9.67,   NaN, 75.43
Compiled by Martin and Moyen (2002),-18.04,  8.74,   NaN, 74.82
Compiled by Martin and Moyen (2002), -8.16, -0.89,   NaN, 61.52
Compiled by Martin and Moyen (2002),-15.69,  4.13,   NaN, 68.92
Compiled by Martin and Moyen (2002),-20.09,  8.81,   NaN, 75.45
Compiled by Martin and Moyen (2002),-20.39,  9.59,   NaN, 75.86
Compiled by Martin and Moyen (2002),-21.08, 10.21,   NaN, 76.52
Compiled by Martin and Moyen (2002),-20.09,  8.81,  2.09, 75.46
Compiled by Martin and Moyen (2002),-21.05, 10.18,  2.47, 76.46
Compiled by Martin and Moyen (2002),-20.37,  9.55,  2.40, 75.81
Compiled by Martin and Moyen (2002),-17.49,  6.06,  3.82, 70.65
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-15.28,  3.76,  1.96, 68.01
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-15.59,  4.28,   NaN, 68.77
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-20.14,  8.53,   NaN, 74.57
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-15.78,  4.67,  2.08, 69.11
