NoEch.orig,DataSource,Age (Ga),Age,Most_likely,SiO2,TiO2,Al2O3,FeOt,MgO,MnO,CaO,Na2O,K2O,P2O5,LOI,A/NK,A/CNK,K2O/Na2O,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,La/Lu N,La,Lu,,Proba,Class.auto.2,Proba.2
,"Garde, 1997",3.11,3110,Sodic MP,70.37,0.53,14.7,2.7506029,0.91,0.02,3.76,4.17,1.21,0.18,0.58,1.7993083,0.9795867,0.29016787,,,27,5,77,4,14,41,19,29,456,3,451,2.7,,,938,,,4,,,,,,,,,,,,,,,,,,,,,0.994,class0,0.999
,"Garde, 1997",3.11,3110,Sodic MP,65.72,0.57,15.78,4.2117758,1.66,0.06,4.49,4.59,1.23,0.18,0.76,1.7765478,0.9257183,0.26797386,,,52,33,105,21,26,65,19,31,531,7.4,109,6.6,,,384,,,5,,,,,,,,,,,,,,,,,,,,,0.999,class5,0.981
,"Garde, 1997",3.11,3110,Sodic MP,64.04,0.55,16.8,4.5787511,2,0.06,5.13,4.8,0.73,0.18,0.62,1.9340037,0.9326011,0.15208333,,9.1,61,41,80,21,9,72,21,1.7,568,10,136,4.7,,,444,3,,5,,,19,37,,,2.8,0.7,,,,,,,0.99,0.19,,,,,1,class4,1
,"Garde, 1997",3.11,3110,Sodic MP,62.26,0.59,15.73,5.5106979,3.56,0.11,5.65,4.07,1.46,0.175,0.45,1.9006978,0.8480299,0.35872236,,13.8,97,171,32,63,3,67,17,51,348,14,130,5.9,,2.4,450,2.4,0.6,9,2,0.5,21.8,37,,16,2.88,0.92,,0.4,,,,,1.27,0.16,,,,,1,class4,1
,"Garde, 1997",3.11,3110,Sodic MP,62.1,0.58,15.93,5.4277872,3.53,0.1,5.66,3.95,1.568,0.169,0.49,1.9437733,0.8617076,0.39696203,,13.6,96,158,32,62,6,68,17,61,327,14,124,6.4,,2.1,436,3.5,0.6,11,2,0.7,21.9,35,,13,2.8,0.9,,0.4,,,,,1.24,0.16,,,,,1,class4,1
,"Garde, 1997",3.11,3110,Sodic MP,66.67,0.4,16.49,3.0468043,1.25,0.05,4.3,4.68,1.16,0.16,0.63,1.8414946,0.9831249,0.24786325,,6.3,32,17,58,7,,59,17,28,381,7.8,164,7.1,,,307,4,,7,5.9,,25,36,,6,2.2,0.7,,0.5,,,,,0.57,0.1,,,,,0.96,class12,0.999
,"Garde, 1997",3.11,3110,Sodic MP,62.99,0.48,18.3,3.8768043,1.97,0.07,5.38,5.37,0.651,0.152,0.33,1.9184734,0.9471618,0.12122905,,7.9,39,25,31,15,16,78,22,2.6,645,7,107,3.1,,,406,1.8,0.4,9,0.3,,14.5,25,,12,2.22,1.01,,0.3,,,,,0.54,0.07,,,,,0.93,class4,1
,"Garde, 1997",3.11,3110,Sodic MP,66.19,0.42,16.76,3.1937606,1.16,0.04,4.13,5.07,1.22,0.15,0.52,1.7347712,0.9760937,0.24063116,,,48,11,69,4,3,52,19,25,562,6.9,101,5.2,,,388,,,10,3,,,,,,,,,,,,,,,,,,,,0.999,class11,0.999
,"Garde, 1997",3.11,3110,Sodic MP,64.83,0.52,16.82,4.109772,1.64,0.06,4.83,5,0.79,0.15,0.52,1.8522987,0.9416306,0.158,,7.5,46,33,60,16,14,66,19,2,543,7.8,127,4.7,,0.3,441,1.9,,4,,,15,27,,13,2.61,0.86,,0.3,,,,,0.56,0.08,,,,,0.995,class4,1
,"Garde, 1997",3.11,3110,Sodic MP,66.17,0.49,16.37,3.5758024,1.79,0.06,4.32,4.22,1.25,0.14,0.57,1.9733926,1.0136168,0.29620853,,6.1,46,28,59,28,65,67,19,43,386,4.9,109,4.4,,,527,3,,6,1,,16,28,,12,1.4,0.6,,,,,,,0.53,0.08,,,,,0.999,class12,0.958
,"Garde, 1997",3.11,3110,Sodic MP,69.64,0.34,15.81,2.7838176,0.98,0.06,3.81,4.51,0.778,0.139,0.33,1.9136908,1.0408878,0.17250554,,5.5,32,14,116,6,9,64,19,2.2,254,8,191,7.3,,,431,5,,10,0.9,,20,31,,12,1.9,0.8,,,,,,,1.13,0.15,,,,,0.999,class4,0.996
,"Garde, 1997",3.11,3110,Sodic MP,68.44,0.34,15.9,3.539715,1.37,0.07,3.98,4.71,1.237,0.138,0.38,1.7496785,0.974031,0.2626327,,,45,24,71,14,14,66,22,30,358,7,129,5,,,387,,,18,6,,,,,,,,,,,,,,,,,,,,0.999,class11,0.999
,"Garde, 1997",3.11,3110,Sodic MP,67.99,0.39,16.36,2.8578442,0.97,0.05,3.6,4.66,1.402,0.129,0.24,1.7814108,1.0400946,0.30085837,,4.1,32,11,11,7,8,66,19,81,381,6,159,4.6,,1.7,449,3.8,0.5,15,11,1,17.6,47,,11,1.91,0.61,,0.2,,,,,0.44,0.08,,,,,0.624,class12,0.999
,"Garde, 1997",3.11,3110,Sodic MP,68.56,0.4,15.83,3.0777872,1.14,0.04,3.91,4.92,0.96,0.12,0.42,1.7332717,0.9746173,0.19512195,,,28,22,96,10,,52,18,10,506,3.7,104,3.3,,,630,,,6,,,,,,,,,,,,,,,,,,,,,0.989,class0,0.999
,"Garde, 1997",3.11,3110,Sodic MP,70.56,0.29,15.56,2.6908309,0.87,0.07,3.8,4.34,0.94,0.106,0.29,1.9075144,1.0327572,0.21658986,,6.2,26,9,73,9,13,52,18,11,225,8,162,3.8,,,373,8,,7,2,,41,58,,23,2.6,1.1,,,,,,,1.63,0.25,,,,,1,class3,0.981
,"Garde, 1997",3.11,3110,Sodic MP,63.56,0.61,17.06,4.8346485,1.79,0.05,4.57,4.82,1.29,0.1,0.55,1.8293506,0.9673945,0.26763485,,8.3,61,15,77,12,5,81,22,19,549,11,75,4,,,811,3,,5,,,17,30,,16,2.8,0.9,,,,,,,1.02,0.1,,,,,0.999,class4,1
,"Garde, 1997",3.11,3110,Sodic MP,70.72,0.31,15.51,2.1428727,0.83,0.03,3.11,4.83,1.72,0.098,0.17,1.5814241,1.0030854,0.35610766,,3.8,21,19,14,6,5,43,17,80,293,6,183,5.3,,2,502,4.5,1,17,18,1.7,56,69,,19,2.8,0.7,,,,,,,,0.07,,,,,1,class3,1
,"Garde, 1997",3.11,3110,Sodic MP,71.63,0.28,15.21,1.8119468,0.66,0.03,2.97,5.09,1.555,0.093,0.17,1.5124189,0.9840289,0.30550098,,19,17,14,10,7,4,49,17,49,336,3,162,4.5,,,713,4.1,,22,16,,11,23,,16,3.1,1,,0.6,,,,,1.9,0.32,,,,,0.999,class12,0.999
,"Garde, 1997",3.11,3110,Sodic MP,71.52,0.29,15.19,2.1788841,0.76,0.04,2.93,4.64,1.764,0.093,0.18,1.5917968,1.0215149,0.38017241,,3,20,12,16,6,2,46,14,61,331,6,158,3.6,,0.9,741,2.5,0.6,18,14,0.8,33.1,51,,17,2.28,0.62,,0.3,,,,,0.51,0.07,,,,,0.992,class3,0.795
,"Garde, 1997",3.11,3110,Sodic MP,72.82,0.25,14.74,1.8689031,0.49,0.04,2.53,5.23,1.517,0.088,0.16,1.4386217,0.9928584,0.29005736,,,19,9,13,5,8,42,18,69,274,4,156,3.6,,,424,,,23,13,,,,,,,,,,,,,,,,,,,,1,class6,0.986
,"Garde, 1997",3.11,3110,Sodic MP,70.17,0.26,15.31,2.669829,0.56,0.05,2.82,5,1.74,0.06,0.62,1.5145024,1.0048356,0.348,,,24,5,96,4,8,51,17,66,313,7.4,91,5.3,,,425,,,13,5,,,,,,,,,,,,,,,,,,,,0.997,class6,0.996
,"Garde, 1997",3.11,3110,Sodic MP,73.43,0.33,14.15,1.7539696,0.77,0.02,3.23,4.02,1.07,0.05,0.7,1.8207554,1.0370583,0.26616915,,,24,7,53,5,,24,14,29,290,2.7,303,3.4,,,556,,,9,7,,,,,,,,,,,,,,,,,,,,0.76,class0,0.615
,"Garde, 1997",3.11,3110,Sodic MP,69.75,0.37,16.49,1.9109449,0.88,0.01,4.13,4.35,1.14,0.03,0.51,1.9653994,1.0371449,0.26206897,,,33,5,73,14,,22,20,31,303,1,165,4.4,,,502,,,8,1,,,,,,,,,,,,,,,,,,,,1,class0,0.978
,"Garde, 1997",3.06,3060,Sodic MP,64.08,0.29,18.79,2.5928727,1.66,0.07,5,4.93,1.219,0.109,0.4,1.9926147,1.0145273,0.24726166,,,52,19,37,14,15,48,19,35,499,13,42,3.6,,,272,,,25,7,,,,,,,,,,,,,,,,,,,,0.999,class5,0.994
,"Garde, 1997",3.06,3060,Sodic MP,71.16,0.26,15.52,1.6549715,0.6,0.04,2.43,4.7,1.794,0.124,0.36,1.6043243,1.1013232,0.38170213,,,22,10,49,,3,36,15,43,520,5,110,2.8,,,897,,,17,5,,,,,,,,,,,,,,,,,,,,0.999,class6,0.981
,"Garde, 1997",3.06,3060,Sodic MP,65.42,0.51,16.42,3.9388081,2.12,0.09,3.81,4.67,1.688,0.205,0.6,1.7266467,0.9989538,0.3614561,,,71,45,47,27,26,73,20,61,496,17,141,6.4,,,556,,,13,10,,,,,,,,,,,,,,,,,,,,1,class5,0.989
,"Garde, 1997",3.06,3060,Sodic MP,66.89,0.47,16.07,3.37981,1.52,0.06,3.68,4.63,1.892,0.184,0.72,1.6627388,0.9825236,0.40863931,,12.5,53,25,50,13,14,70,21,46,388,12,153,4.8,,0.7,811,4.5,0.4,15,2.6,,32.1,53,,23,3.83,0.87,,0.4,,,,,0.99,0.13,,,,,1,class3,0.554
,"Garde, 1997",3.06,3060,Sodic MP,69.8,0.43,15.59,2.6438366,1.12,0.05,3.2,4.46,1.757,0.139,0.3,1.6874155,1.0353783,0.39394619,,,35,9,62,8,5,57,18,63,373,6,120,4.9,,,503,,,15,5,,,,,,,,,,,,,,,,,,,,1,class11,0.545
,"Garde, 1997",3.06,3060,Sodic MP,66.98,0.48,15.88,3.4068233,1.41,0.06,3.84,4.76,1.57,0.171,0.84,1.6663007,0.9617205,0.32983193,,,53,12,53,10,17,61,19,50,419,10,143,4.4,,,673,,,14,7,,,,,,,,,,,,,,,,,,,,1,class11,0.994
,"Garde, 1997",3.06,3060,Sodic MP,67.22,0.48,16,3.4448005,1.48,0.06,3.82,4.39,1.741,0.18,0.8,1.7569858,0.996753,0.39658314,,,56,16,57,12,15,66,18,58,404,10,157,4.5,,,608,,,16,7,,,,,,,,,,,,,,,,,,,,1,class11,0.95
,"Garde, 1997",3.06,3060,Sodic MP,66.95,0.49,16.14,3.4727777,1.5,0.07,3.85,4.7,1.69,0.179,0.74,1.6880585,0.9745528,0.35957447,,,55,15,45,9,16,67,19,52,421,12,148,5.3,,,429,,,16,3,,,,,,,,,,,,,,,,,,,,1,class11,0.996
,"Garde, 1997",2.98,2980,Sodic MP,67.53,0.36,16.77,2.8108689,1.39,0.05,3.8,4.72,1.61,0.102,0.24,1.7638546,1.0215122,0.34110169,,5.2,40,15,15,15,11,57,18,77,466,5,79,3.2,,2,414,2.4,0.6,15,3.3,0.6,20.9,36,,15,1.95,0.57,,0.2,,,,,0.29,0.04,,,,,1,class12,0.999
,"Garde, 1997",2.98,2980,Sodic MP,62.74,0.49,19.11,3.1038366,1.72,0.05,5.18,5.53,1.417,0.095,0.26,1.7975389,0.9531361,0.2562387,,6.3,50,12,14,15,3,47,23,45,540,9,94,6.2,,0.9,428,3,1.1,16,1.5,0.9,8.8,17,,8,2.25,0.73,,0.3,,,,,0.65,0.07,,,,,1,class4,1
,"Garde, 1997",2.98,2980,Sodic MP,66.22,0.42,17.43,3.0858214,1.34,0.04,3.91,4.68,1.53,0.1,0.52,1.8631375,1.058645,0.32692308,,4.6,35,7,44,7,18,51,20,63,517,3.2,87,4.6,,,414,4,,11,1.6,,17,28,,10,1.5,0.6,,,,,,,0.18,,,,,,1,class12,1
,"Garde, 1997",2.93,2930,Sodic MP,66.85,0.45,16.12,3.3377872,1.33,0.05,3.34,5.05,1.49,0.19,0.95,1.6249059,1.007913,0.2950495,,6.5,42,7,66,7,6,57,19,58,418,5.9,126,5.1,,,609,5,,13,1.65,,23,36,,15,1.9,0.75,,,,,,,0.17,0.08,,,,,0.91,class12,0.999
,"Garde, 1997",3.04,3040,Sodic MP,62.36,0.58,15.77,5.5426827,3.13,0.09,5.15,4.1,0.91,0.16,1.06,2.0401256,0.9225583,0.22195122,,12.6,86,110,45,50,10,67,16,13,415,16,112,6.2,,,335,3.6,0.5,4,1.4,,17.2,31,,15,2.87,0.91,,0.6,,,,,1.77,0.27,,,,,1,class4,1
,"Garde, 1997",3.04,3040,Sodic MP,63.63,0.63,15.86,5.3906409,2.46,0.08,5.19,4.48,0.97,0.14,0.54,1.8836106,0.8881879,0.21651786,,10.4,71,65,70,26,,81,18,12,390,9.6,91,6.8,,,377,2.2,,3,0.4,,18.5,35,,16,2.76,0.81,,0.4,,,,,0.97,0.13,,,,,1,class4,1
,"Garde, 1997",3.04,3040,Sodic MP,60.6,0.65,16.34,5.7316048,3.04,0.1,6.05,4.02,1,0.22,1.34,2.1232558,0.8739845,0.24875622,,,88,77,49,38,19,83,18,24,452,13,99,6.9,,,332,,,6,,,,,,,,,,,,,,,,,,,,,1,class5,1
03KB77,"Benn and Moyen, 2008",2.7,2700,Sodic MP,71.99,0.26,14.34,1.3407169,0.62,0.07,1.78,4.56,3.62,0.09,1.61,1.2556825,0.9784039,0.79385965,,,7,29,4,8,40.2,50,24,220.79,536.77,4.22,137.67,5.82,,,1042.78,2.32,0.34,26,15.69,2.82,40.52,73.46,7.99,20.41,7.42,1.58,2.27,,,,,,,,,,,,1,class14,1
06KB29,"Benn and Moyen, 2008",2.7,2700,Sodic MP,73.79458,0.18782338,13.87876,1.7684927,0.7340712,0.0296993,1.9160667,4.537501,2.8295176,0.08661636,,1.3183438,0.9905433,0.62358501,24,2.6,23.7,9.28,5,7,7,43,,61.64,1020.6,5.49,125.3,4.8,,1.69,,3.2,0.35,,4.82,1.027,20.57,51.12,5.17,19.05,3.28,0.949,2.173,0.257,1.225,0.208,0.526,0.071,0.47,0.064,,,,,0.999,class9,1
06KB38,"Benn and Moyen, 2008",2.7,2700,Sodic MP,74.40129,0.2512096,13.20116,1.7760833,0.7551394,0.02156427,1.8532425,3.865753,3.4657013,0.14115258,,1.3056283,0.9792728,0.8965139,26,2.3,23.8,11.29,6,8,,57,,88.73,1089,5.84,172.2,4.4,,2.111,,4.2,0.31,,12.99,1.28,51.59,107.63,11.463,40.38,6.28,1.519,3.441,0.359,1.467,0.211,0.499,0.062,0.4,0.049,,,,,1,class14,0.999
2030a,"Bédard, 2006",2.75,2750,Sodic MP,71.74298,0.37759464,15.30789,2.1939419,1.0001155,0.04082104,2.5104941,4.449494,2.2655678,0.11109855,1.18,1.5664742,1.0677315,0.50917426,,4,,,,,,,,28.88939,348,7.862,135,6,,,933.637,4.8,,,15,0.6,55,97,,35,4.5,1,,,,,,,0.6791,,,,,,1,class3,0.999
3310a,"Bédard, 2006",2.75,2750,Sodic MP,74.07819,0.14052774,14.75541,1.7055149,0.3513193,0.02007539,1.8067852,3.824362,3.2722888,0.04551899,0.44,1.500523,1.1247657,0.85564306,,3.40579,,,,,,,,73.051886,156.26565,1.755204,98.16688,5.0085145,,,,3.005109,0.70119203,,6.1103877,,16.027246,,,8.013623,2.0034058,,,,,,,0.500851447,0.55323811,,,,,,0.87,class13,0.979
,Compiled by Martin and Moyen (2002),2.957,2957,Sodic MP,72.06,0.19,14.26,2.0162016,0.48,0.03,2.16,4.3,3.12,0.08,,1.3644448,0.9917584,0.7255814,,3.2,7.52,1.54,1.6,,4.69,54.7,,104,187,6.14,127,9.09,,2.41,528,3.84,0.41,,9.1,0.71,22.21857,42.2458,4.099742,14.146608,2.63951,0.5597448,2.0403771,0.2580524,1.2552368,0.2382244,0.5192118,0.07198457,0.4904587,0.07005505,,,,,0.986,class9,0.999
,Compiled by Martin and Moyen (2002),2.957,2957,Sodic MP,72.78,0.12,14.83,0.9450945,0.31,,1.67,4.91,3.36,0.02,,1.2659598,1.0053647,0.68431772,,2.5,10.6,4.9,1.23,2.81,3.49,22.8,,227,336,8.8,66,8.88,,6.77,887,2.12,2.01,,7.45,9.18,10.35839,19.23163,2.350557,8.707791,1.660088,0.4617169,1.2765122,0.188015,1.1281886,0.2620469,0.6801176,0.13807716,1.0205505,0.17285321,,,,,1,class13,1
H 36,Martin 1987,2.9,2900,Sodic MP,69.36,0.36,15.61,2.1242124,0.87,0.03,2.31,4.58,2.4,0.13,,1.5406018,1.0891329,0.52401747,,,,,,,,,,64,645,8,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,class0,0.999
H 541,Martin 1987,2.7,2700,Sodic MP,71.42,0.35,14.5,2.2682268,0.85,0.02,2.39,4.45,2.43,0.08,,1.4571378,1.0142292,0.54606742,,,,,3,5,,,,77,392,5,178,,,,525,,,,,,,,,,,,,,,,,,,,,,,,0.999,class0,0.935
SV 10  ,Barbosa et al. 2004,3.16,3160,Sodic MP,73.89,0.11,14.73,1.0891089,0.21,0.03,1.41,4.77,3.59,0.05,,1.2554247,1.0303021,0.75262055,,,5,9,2,4,,,,91,389,2,108,7,,,589,,,,,,,,,,,,,,,,,,,,,,,,1,class2,1
CAE 19 ,Barbosa et al. 2004,3.16,3160,Sodic MP,74.01,0.17,14.52,1.530153,0.24,0.03,1.58,4.84,2.85,0.05,,1.3143567,1.0431017,0.58884298,,,4,11,2,1,,,,76,474,1,144,6,,,641,,,,,,,,,,,,,,,,,,,,,,,,1,class2,1
SV 12  ,Barbosa et al. 2004,3.16,3160,Sodic MP,73.57,0.14,14.89,1.3411341,0.25,0.03,1.55,4.92,3.12,0.04,,1.298045,1.0420352,0.63414634,,,5,7,2,3,,,,94,466,2,145,8,,,591,,,,,,,,,,,,,,,,,,,,,,,,0.999,class2,1
SV 18  ,Barbosa et al. 2004,3.16,3160,Sodic MP,73.15,0.18,14.78,1.5841584,0.29,0.04,1.63,5.13,3,0.04,,1.2646884,1.0088476,0.58479532,,,8,7,3,3,,,,80,469,2,162,7,,,655,,,,,,,,,,,,,,,,,,,,,,,,0.999,class2,1
,Compiled by Martin and Moyen (2002),2.836,2836,Sodic MP,72.35,0.13,15.26,1.3591359,0.23,0.02,2.01,5.06,2.45,0.04,,1.3902843,1.043005,0.48418972,,,,,,,,,,35,343,4,95,5,,,1324,,,,1,,,,,,,,,,,,,,,,,,,,1,class2,1
,Compiled by Martin and Moyen (2002),2.836,2836,Sodic MP,75.1,0.03,14.67,0.3420342,0.04,0.01,1.72,4.46,3.35,0.01,,1.3380989,1.0411152,0.75112108,,,,,,,,,,47,453,1,46,4,,,1353,,,,1,,,,,,,,,,,,,,,,,,,,1,class2,1
,Compiled by Martin and Moyen (2002),2.76,2760,Sodic MP,71.73,0.2,16.07,1.3850495,0.43,0.04,2.48,4.94,2.6,0.06,,1.46877,1.0401077,0.52631579,,,,,,,,,,69,386,8,119,,,,707,,,,3,,19.5,30.5,,12.2,2.2,0.53,2.2473843,0.37,,,,,0.6,0.08,,,,,0.999,class1,0.999
,Compiled by Martin and Moyen (2002),2.76,2760,Sodic MP,74.25,0.19,14.23,1.7340774,0.41,0.06,2.24,3.96,2.88,0.05,,1.4773643,1.0383193,0.72727273,,,,,,,,,,61,219,6,134,,,,1098,,,,11,,34.4,54.5,,19.8,3.3,0.64,2.7994506,0.42,,,,,0.65,0.09,,,,,1,class14,1
,Compiled by Martin and Moyen (2002),3.07,3070,Sodic MP,69.83,0.32,14.87,2.9890909,1.39,0.05,2.98,4.09,2.78,0.07,,1.5270646,0.9811332,0.6797066,,,37,41,,21,10,40,,50,330,7,126,4,,,1163,,,,7,0.7,30,44,,,,,,,,,,,,,,,,,1,class6,0.999
,Compiled by Martin and Moyen (2002),2.87,2870,Sodic MP,70.43,0.46,14.7,2.5171197,0.75,0.03,2.31,4.76,2.92,0.09,,1.3374102,0.967647,0.61344538,,,,,,,,,,121,461,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,class0,0.999
,Compiled by Martin and Moyen (2002),3.377,3377,Sodic MP,73.31,0.29,15.09,1.86,0.78,0.03,1.9,4.25,2.4,0.09,,1.5735924,1.1568406,0.56470588,,3,30,5,,13,9,52,,90.8,180,8.42,146,8,,2.2,539,3.92,0.74,,8.9,0.85,31.5,49.8,4.49,14.8,2.27,0.71,1.61,0.26,1.58,0.32,0.84,0.12,0.75,0.13,,,,,0.999,class9,0.999
,Compiled by Martin and Moyen (2002),3.013,3013,Sodic MP,72.2,0.21,14.1,1.4851485,0.69,0.04,1.8,4.46,2.87,0.06,,1.3500909,1.0279557,0.64349776,,,61,25,,,,43,,76.4,346,8,93,4,,0.94,629,2.62,,,5.35,,17.8,34.3,,14.4,2.66,0.65,2.2183929,0.33,,0.37,,,0.71,0.09,,,,,0.565,class9,0.998
,Compiled by Martin and Moyen (2002),3.314,3314,Sodic MP,72.45,0.2,15.38,1.3770387,0.49,0.02,2.75,4.51,2.52,0.03,,1.5156979,1.0153653,0.55875831,,,16,72,1,7,12,29,,53,344,3,92,3,,,448,,,,,,,,,,,,,,,,,,,,,,,,0.511,class2,0.997
,Compiled by Martin and Moyen (2002),3.197,3197,Sodic MP,73.46,0.14,15.31,1.0360396,0.27,0.02,2.18,5.33,2.07,0.02,,1.3906779,1.0225244,0.38836773,,,13,37,,2,8,33,,66,317,5,84,4,,,238,,,,,,,,,,,,,,,,,,,,,,,,0.997,class2,1
,Compiled by Martin and Moyen (2002),2.957,2957,Sodic MP,70.54,0.29,14.55,2.70027,0.75,0.05,2.52,4.16,3.12,0.11,,1.4235643,0.9829256,0.75,,4.3,33.5,13.2,5.75,8.58,6.66,50.9,,113,347,9.04,132,7.27,,1.55,848,3.47,0.59,,7.37,0.92,30.18976,56.80826,5.500054,18.329948,2.850486,0.8097448,2.2895522,0.2741573,1.5042514,0.3028853,0.7779882,0.11092284,0.7976147,0.13300306,,,,,1,class3,0.63
,Compiled by Martin and Moyen (2002),2.957,2957,Sodic MP,71.7,0.27,14.47,2.3312331,0.61,0.04,2.56,4.04,2.67,0.11,,1.517358,1.0196628,0.66089109,,4.1,14.7,6.47,3.5,4.77,2.64,55.1,,133,188,1.8,129,9.78,,17.2,766,3.68,3.8,,12.9,2.27,34.64864,63.00831,6.420423,22.47065,3.899205,0.8799304,2.9594658,0.4299625,2.8001437,0.5303329,1.4464941,0.24310802,1.6216514,0.24087768,,,,,0.999,class3,0.999
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,70.7,0.26,15.7,1.8920522,0.87,0.02,2.46,4.9,2.64,0.14,,1.4379105,1.0200467,0.53877551,,,28,12,,,7,50,,110,468,7,136,4,,,462,,,,,,,19,,,,,,,,,,,,,,,,,0.999,class6,0.947
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,71.4,0.32,15.5,1.3610261,0.51,0.01,1.68,4.28,3.84,0.09,,1.3842258,1.0875505,0.89719626,,,12,13,,,33,35,,147,400,6,147,2,,,294,,,,,,27,44,,,,,,,,,,,,,,,,,0.981,class2,0.962
,Compiled by Martin and Moyen (2002),3.73,3730,Sodic MP,72.2,0.5,14.8,1.5890279,0.5,0.02,1.56,4.1,3.86,0.1,,1.3549234,1.075616,0.94146341,,,12,14,,,21,34,,165,333,8,156,2,,,257,,,,,,31,54.2,5.71,24.6,4.34,1.02,2.73,,1.2,,,,,,,,,,0.999,class14,1
,Compiled by Martin and Moyen (2002),3.235,3235,Sodic MP,69.3,0.42,14.3,2.8560216,1.61,0.04,2.74,3.81,2.6,0.15,,1.5745137,1.0167729,0.6824147,,,46,42,,45,51,51,,87,306,9,202,3,,,624,,,,,,27,43,,,,,,,,,,,,,,,,,0.999,class10,0.764
,Compiled by Martin and Moyen (2002),3.235,3235,Sodic MP,70,0.44,15.2,2.1540234,0.84,0.02,2.72,4.14,2.72,0.1,,1.5581842,1.0339775,0.65700483,,,36,11,,5,12,44,,73,393,6,112,5,,,767,,,,,,19,27,,,,,,,,,,,,,,,,,0.999,class6,1
,Compiled by Martin and Moyen (2002),2.9,2900,Sodic MP,69.48,0.203,15.07,2.3091449,1.35,0.025,1.28,4.34,2.34,0.346,,1.5580036,1.2558374,0.53917051,,,,6,,33,,,,22,341,3,195,4,,,1816,,,,5,,58,126,,49,6.1,2.2,1,0.12,,,,,0.11,,,,,,1,class13,0.999
,Compiled by Martin and Moyen (2002),2.9,2900,Sodic MP,71.79,0.18,14.98,1.71,0.74,0.02,2.48,4.73,2.16,0.1,,1.4803276,1.024023,0.45665962,,,26,14,,10,,,,56,389,4,74,,,,980,,,,,,,,,,,,,,,,,,,,,,,,0.699,class0,0.971
,Compiled by Martin and Moyen (2002),2.7,2700,Sodic MP,69.2,0.34,15.4,2.3640864,1.2,0.05,2.82,5.16,2.48,0.13,,1.3783036,0.9447536,0.48062016,,4,8,24,,20,5,58,,66,940,8,124,7,,,1061,,,,,,21.4,43,5.78,24.8,4.19,1.2,2.97,,1.71,0.4,0.82,,0.6,0.1,,,,,1,class3,1
,Compiled by Martin and Moyen (2002),3.142,3142,Sodic MP,71.58,0.21,14.67,1.7280648,0.71,0.03,1.87,3.9,3.45,0.06,,1.4452767,1.0826261,0.88461538,,,,5,,,10,27,,68,415,7,121,4,,,2288,,,,9,,36,67,,,,,,,,,,,,,,,,,0.999,class14,0.993
,Compiled by Martin and Moyen (2002),2.8,2800,Sodic MP,73.08,0.19,15.1,1.1251125,0.53,0.02,1.61,4.5,3.57,0.02,,1.3401665,1.063785,0.79333333,,,,,,1,,25,,34,250,1.1,117,,,,708,,,,,,19,30,,,,,,,,,,,,,,,,,0.999,class2,1
,Compiled by Martin and Moyen (2002),2.53,2530,Sodic MP,70.85,0.24,15.54,2.1770567,0.59,0.04,2.88,3.98,2.35,0.05,,1.7093407,1.0846116,0.59045226,,,12,6,109,,,89,,,960,8,72,,,,2406,,,,,,37.94,74.07,,29.52,4.9,1.01,2.87,,1.65,0.31,0.78,,0.49,0.09,,,,,1,class14,0.999
,Compiled by Martin and Moyen (2002),3.105,3105,Sodic MP,70.6,0.45,15,1.9891989,1.01,0.03,2.88,4.39,2.18,0.14,,1.5654845,1.0122698,0.49658314,,,43,,,,,,,63,652,4,143,5,,,699,,,,,,43.2,84.6,8.6,30.1,3.2,0.7,1.1,,1.4,,0.6,,,,,,,,0.997,class3,0.999
,Compiled by Martin and Moyen (2002),3.46,3460,Sodic MP,72.86,0.35,14.64,1.9580198,0.52,0.02,2.27,4.01,2.61,0.11,,1.5538081,1.0804921,0.65087282,,3.7,,,,,,,,63,347,10.5,254,4,,,1082,,,,,,65,,,,,,,,,,,,,,,,,,0.999,class14,0.934
,Compiled by Martin and Moyen (2002),3.45,3450,Sodic MP,72.44,0.3,14.94,1.800018,0.64,0.03,2.12,4.1,3.41,0.12,,1.4315793,1.0454379,0.83170732,,1.4,,,,,,,,117,339,9.7,177,3.1,,,836,,,,,,49.16,76.95,8.7,30.93,5.22,1.38,4.45,,3.99,0.82,2.02,,1.41,,,,,,0.999,class14,0.999
,Compiled by Martin and Moyen (2002),3.268,3268,Sodic MP,72.33,0.29,14.98,1.8290189,0.52,0.03,2.08,4.67,2.73,0.09,,1.4082032,1.0388655,0.58458244,,2.6,,,,,,,,93,475,10.5,166,7.1,,,575,,,,,,,,,,,,,,,,,,,,,,,,0.999,class6,0.556
,Compiled by Martin and Moyen (2002),3.268,3268,Sodic MP,72.85,0.22,15.21,1.4540144,0.38,0.02,1.95,5.12,2.15,0.06,,1.4148647,1.0639577,0.41992188,,2.8,,,,,,,,68,509,10,131,7,,,401,,,,,,,,,,,,,,,,,,,,,,,,0.999,class2,0.989
